Date,Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss
3/5/2019,Group stage,Away,W,1,0,bo San José,1.3,1.2,45
3/13/2019,Group stage,Home,W,3,1,ec LDU de Quito,2.5,1.7,69
4/3/2019,Group stage,Home,L,0,1,uy Peñarol,0.5,1.2,60
4/11/2019,Group stage,Home,W,6,1,bo San José,5.7,0.9,67
4/25/2019,Group stage,Away,L,1,2,ec LDU de Quito,0.5,2,48
5/8/2019,Group stage,Away,D,0,0,uy Peñarol,1.5,0.8,50
7/24/2019,Round of 16,Away,L,0,2,ec CS Emelec,0.8,0.3,69
7/31/2019,Round of 16,Home,W,2 (4),0 (2),ec CS Emelec,2.7,0.5,67
8/21/2019,Quarter-finals,Home,W,2,0,br Internacional,1.4,0.6,65
8/28/2019,Quarter-finals,Away,D,1,1,br Internacional,1.5,0.5,45
10/2/2019,Semi-finals,Away,D,1,1,br Grêmio,1.3,1.2,58
10/23/2019,Semi-finals,Home,W,5,0,br Grêmio,3,0.9,56
11/23/2019,Final,Neutral,W,2,1,ar River Plate,2.2,0.5,60
